NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
DE91,1477380.5555555555,277777.77777777775,73147.22222222222,361111.11111111107,0,4953172.222222222,0,2207258.333333333
DE92,4717061.111111111,805555.5555555554,211719.44444444444,972222.2222222222,0,8326894.444444445,0,2434522.2222222215
DE93,3070222.222222222,555555.5555555555,145141.66666666666,2111111.111111111,0,7003347.222222222,0,3582066.666666666
DE94,2460383.333333333,527777.7777777778,137377.77777777775,5749999.999999999,0,6191736.11111111,0,3659049.9999999995
DEA1,427161.11111111107,111111.11111111111,27569.44444444444,500000.0,0,2081986.1111111108,0,826174.9999999999
DEA2,1082105.5555555555,249999.99999999997,63324.99999999999,388888.8888888888,0,3728933.333333333,0,1068780.5555555555
DEA3,881497.2222222221,138888.88888888888,40494.44444444444,1500000.0,0,2450163.8888888885,0,1398894.4444444443
DEA4,980341.6666666665,166666.66666666666,44613.88888888888,749999.9999999999,0,2828652.777777778,0,1294999.9999999998
DEA5,1858644.4444444443,388888.8888888889,95988.88888888888,527777.7777777778,0,3403319.444444444,0,771833.3333333333
DEB1,1717736.111111111,388888.8888888889,98519.44444444444,166666.66666666666,0,3762416.666666666,0,780277.7777777778
DEB2,1257444.4444444443,277777.77777777775,69394.44444444444,222222.2222222222,0,2268380.5555555555,0,447858.3333333333
DEB3,1603394.4444444443,361111.11111111107,93427.77777777777,111111.11111111111,0,3982155.555555555,0,982805.5555555555
DEC0,475702.7777777777,111111.11111111111,30041.666666666664,55555.555555555555,0,1013674.9999999998,0,162936.1111111111
DED2,1431688.8888888885,249999.99999999997,64513.88888888888,749999.9999999999,0,3763388.8888888885,0,1449349.9999999998
DED4,1060166.6666666665,222222.22222222222,51352.777777777774,638888.8888888889,0,3100283.333333333,0,1225775.0
DED5,384991.6666666666,83333.33333333333,18011.11111111111,472222.2222222222,0,2157113.888888889,0,900313.8888888889
DEE0,2609716.6666666665,472222.2222222222,121197.2222222222,0,0,6976419.444444443,0,0
DEF0,911297.2222222221,194444.44444444444,50441.666666666664,2722222.222222222,0,6264602.777777778,0,4300849.999999999
DEG0,3378177.7777777775,611111.111111111,155274.99999999997,1500000.0,0,8733469.444444442,0,3369794.4444444445
DK,0,0,0,0,7001566.666666666,0,80833.33333333331,0
DK01,364136.11111111107,27777.777777777777,58819.44444444444,472222.22222222213,0,333961.11111111107,0,241691.6666666667
DK02,685183.3333333333,27777.777777777777,129455.55555555555,2194444.4444444445,0,1421230.5555555555,0,1109130.5555555555
DK03,1203302.7777777778,83333.33333333333,206966.66666666663,3583333.333333333,0,1317961.111111111,0,1956691.6666666663
DK04,1879208.333333333,111111.11111111111,288413.8888888888,3611111.111111111,0,1795016.6666666667,0,2036222.2222222218
DK05,834533.3333333331,27777.777777777777,140063.88888888888,2222222.222222222,0,897208.3333333333,0,1314672.222222222
EE,0,0,0,0,855605.0,0,0,0
EE00,8288125.0,0,0,2277777.7777777775,0,15402625.0,0,1460058.3333333333
EL,0,0,0,0,842947.2222222221,0,164722.2222222222,0
