NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
DE22,852838.8888888889,138888.88888888888,38147.22222222222,138888.88888888888,0,4001541.6666666665,0,1303636.111111111
DE23,1927094.444444444,305555.5555555555,79524.99999999999,27777.777777777777,0,4823927.777777777,0,821244.4444444444
DE24,829786.111111111,138888.88888888888,35911.11111111111,0,0,2637833.3333333335,0,709419.4444444443
DE25,753744.4444444443,138888.88888888888,32119.44444444444,27777.777777777777,0,2643800.0,0,839288.8888888888
DE26,1886994.4444444443,333333.3333333333,85722.2222222222,0,0,5654786.111111111,0,1162647.222222222
DE27,800344.4444444443,138888.88888888888,37194.44444444444,55555.555555555555,0,3414313.8888888885,0,1097713.8888888888
DE30,54983.33333333333,0,2819.444444444444,0,0,118861.11111111111,0,0
DE40,3908022.2222222215,611111.111111111,157563.88888888888,1750000.0,0,9518130.555555556,0,221280.5555555555
DE50,151358.3333333333,27777.777777777777,6416.666666666666,0,0,266011.11111111107,0,0
DE60,10977.777777777777,0,616.6666666666666,0,0,40166.666666666664,0,0
DE71,910338.8888888888,194444.44444444444,50136.11111111111,0,0,3462497.2222222215,0,419508.33333333326
DE72,559708.3333333333,111111.11111111111,30886.111111111106,0,0,2223463.8888888885,0,310758.3333333333
DE73,890227.7777777776,166666.66666666666,45730.55555555555,55555.555555555555,0,3463380.555555555,0,576016.6666666666
DE80,1611483.333333333,361111.11111111107,87275.0,1611111.111111111,0,11967705.555555554,0,4007530.5555555555
DE91,752580.5555555554,138888.88888888888,36575.0,55555.555555555555,0,4655141.666666667,0,1554947.222222222
DE92,2358530.5555555555,416666.6666666666,105861.1111111111,388888.8888888889,0,7700988.888888889,0,1640116.6666666667
DE93,1521222.222222222,277777.77777777775,72572.22222222222,694444.4444444444,0,6433633.333333332,0,2255163.888888889
DE94,1244080.5555555553,277777.77777777775,68688.88888888888,3194444.4444444445,0,5612375.0,0,2630525.0
DEA1,199691.66666666666,55555.555555555555,13786.11111111111,83333.33333333333,0,1977341.6666666665,0,521058.33333333326
DEA2,541052.7777777778,111111.11111111111,31661.111111111106,55555.555555555555,0,3529813.8888888885,0,725730.5555555554
DEA3,440747.2222222222,83333.33333333333,20247.22222222222,388888.8888888889,0,2167130.555555555,0,960588.8888888888
DEA4,490169.4444444444,83333.33333333333,22305.55555555555,194444.44444444444,0,2634066.6666666665,0,733630.5555555555
