NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,straw
PL11,24.6492,2.8026000000000004,9.892800000000001,32.5224,0.0108,28.034999999999997,72.49680000000001
PL12,24.6456,2.8008,9.892800000000001,32.4864,0.0108,27.9798,72.7812
PL21,24.6528,2.8026000000000004,9.892800000000001,30.798000000000002,0.0108,28.7106,76.23
PL22,24.6456,2.8008,9.892800000000001,30.7404,0.0108,28.3794,75.1284
PL31,24.656399999999998,2.8026000000000004,9.892800000000001,31.2372,0.0108,27.8934,71.64
PL32,24.6492,2.8026000000000004,9.892800000000001,31.759200000000003,0.0108,28.407,71.8596
PL33,24.6492,2.6208,9.892800000000001,31.932000000000002,0.0108,27.680400000000002,72.0972
PL34,24.6456,2.8008,9.892800000000001,32.5656,0.0108,28.467000000000002,74.5596
PL41,24.6456,2.8008,9.892800000000001,32.5188,0.0108,28.272000000000002,69.3144
PL42,24.6492,2.8008,9.892800000000001,32.5116,0.0108,28.3686,67.87440000000001
PL43,24.6456,2.8008,9.892800000000001,32.522400000000005,0.0108,28.137,69.6564
PL51,24.6456,2.8008,9.892800000000001,30.067200000000003,0.0108,27.950999999999997,71.7516
PL52,24.6456,2.6208,9.892800000000001,32.2956,0.0108,27.936000000000003,70.2792
PL61,24.6492,2.8026000000000004,9.892800000000001,30.6612,0.0108,28.198800000000002,72.3096
PL62,24.6492,2.8008,9.892800000000001,31.644,0.0108,28.4778,71.4024
PL63,24.6456,2.8008,9.892800000000001,31.9392,0.0108,28.281000000000002,70.524
PT,,,,,,408.57120000000003,
PT11,35.4744,4.4190000000000005,9.892800000000001,30.96,0.018000000000000002,34.8882,87.89760000000001
PT15,35.4636,3.6954,9.892800000000001,18.342,0.018000000000000002,35.943599999999996,101.90520000000001
PT16,35.4636,5.8553999999999995,9.892800000000001,33.732,0.018000000000000002,35.1696,100.98360000000001
PT17,35.3016,3.654,9.892800000000001,31.5324,0.018000000000000002,34.3656,119.286
PT18,35.470800000000004,4.417199999999999,9.892800000000001,32.507999999999996,0.018000000000000002,37.676399999999994,121.608
PT20,,,,14.3352,0.018000000000000002,42.2172,73.9296
PT30,,,,14.904,0.018000000000000002,42.2172,73.4832
RO,,,,,,457.9812,
RO11,19.7568,2.853,9.892800000000001,30.895200000000003,0.3852,28.902600000000003,97.3368
RO12,19.7496,3.0312,9.892800000000001,29.4336,0.3852,27.897000000000002,84.06360000000001
RO21,19.7496,2.8512000000000004,9.892800000000001,30.2832,0.3852,29.284200000000002,88.7004
RO22,19.7424,2.8494000000000006,0.0,17.8452,0.3852,28.699799999999996,90.8928
RO31,19.7496,2.673,0.0,29.851200000000002,0.3852,29.025000000000002,95.6664
RO32,19.774800000000003,2.8386000000000005,0.0,17.8344,0.3852,27.4152,89.9244
RO41,19.7604,2.8548,0.0,17.838,0.3852,28.6908,96.624
RO42,19.7568,4.113,0.0,30.906,0.3852,28.5132,91.2888
RS,0.0,0.0,10.0368,32.0688,0.0,60.70937142857143,85.3848
SE,,,,,,367.3764,
SE11,39.8988,3.2292,9.432,17.974800000000002,0.0108,34.4172,73.8756
SE12,40.3344,3.3462,13.482000000000001,45.7668,0.0108,36.537000000000006,84.4128
SE21,40.3236,3.3426,0.0,46.8324,0.0108,34.494,92.2068
SE22,40.330799999999996,3.3444000000000003,13.482000000000001,43.44840000000001,0.0108,38.4492,98.8704
SE23,40.330799999999996,3.5244,0.0,44.805600000000005,0.0108,73.5156,93.114
SE31,40.3236,3.3426,0.0,47.3904,0.0108,30.238200000000003,98.76599999999999
SE32,40.3236,3.5225999999999997,0.0,20.8116,0.0108,34.743,93.3696
SE33,40.3344,4.7862,0.0,20.8404,0.0108,34.5528,92.1312
SI,,,,,,359.0532,
SI03,22.035600000000002,4.7358,0.0,32.1012,0.432,29.575200000000006,126.108
SI04,22.129199999999997,4.041,0.0,32.436,0.432,29.6778,125.64359999999999
SK,,,,,,350.17920000000004,
SK01,20.9916,3.6593999999999998,0.0,30.452399999999997,0.0,29.743800000000004,113.8392
SK02,20.9628,4.1922,0.0,30.798000000000002,0.0,29.5842,114.9984
SK03,20.9808,5.4576,0.0,30.6612,0.0,29.4816,116.694
SK04,20.9772,4.7358,0.0,30.970799999999997,0.0,29.622,104.23440000000001
TR,,,,,,451.9512,
TR1,,0.36000000000000004,10.1988,,,0.0,
TR10,21.4884,0.0,10.1988,19.224,0.0,28.797,33.6528
TR21,21.4884,3.3984,10.2744,19.259999999999998,0.0,28.797,37.422
TR22,0.0,0.18000000000000002,10.2744,36.4104,0.0,24.611400000000003,116.514
TR31,21.4884,3.3984,10.2744,19.2708,0.0,28.797,115.254
TR32,0.0,0.18000000000000002,10.2744,36.428399999999996,0.0,24.611400000000003,113.9904
TR33,0.0,0.18000000000000002,10.2744,36.41760000000001,0.0,24.611400000000003,114.6564
TR41,0.0,0.18000000000000002,10.2744,36.424800000000005,0.0,24.611400000000003,113.5188
TR42,0.0,0.18000000000000002,10.2744,36.4392,0.0,24.611400000000003,112.3848
