NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,straw
DE73,31.1868,3.5874,9.7308,42.408,0.2088,35.39939999999999,100.6992
DE80,31.176000000000002,3.7656,9.7308,42.5088,0.2088,36.28979999999999,110.754
DE91,31.302,3.6144000000000003,9.7308,42.3468,0.2088,35.3022,112.99680000000001
DE92,31.147199999999998,3.7566000000000006,9.7308,42.7392,0.2088,35.421,112.8996
DE93,31.183200000000003,3.7674000000000003,9.7308,43.4376,0.2088,36.5172,113.2596
DE94,31.183200000000003,3.7674000000000003,9.7308,44.153999999999996,0.2088,36.3036,112.0896
DEA1,31.179600000000004,3.5856,9.7308,42.717600000000004,0.2088,34.3128,112.2984
DEA2,31.176000000000002,3.5856,9.7308,42.263999999999996,0.2088,34.5648,112.9428
DEA3,31.179600000000004,3.5856,9.7308,42.9012,0.2088,36.14040000000001,112.11120000000001
DEA4,31.176000000000002,3.5856,9.7308,42.919200000000004,0.2088,35.865,111.9024
DEA5,31.179600000000004,3.7656,9.7308,43.0128,0.2088,35.2434,112.4892
DEB1,31.1904,3.7692,9.7308,42.42959999999999,0.2088,34.5378,119.988
DEB2,31.176000000000002,3.5856,9.7308,42.4764,0.2088,34.98120000000001,119.412
DEB3,31.183200000000003,3.7674000000000003,9.7308,42.458400000000005,0.2088,34.125,110.6892
DEC0,31.194000000000003,3.5874,9.7308,42.638400000000004,0.2088,34.1886,100.9188
DED2,31.194000000000003,3.5892,9.7308,42.9696,0.2088,35.070600000000006,109.1412
DED4,31.183200000000003,3.5874,9.7308,42.955200000000005,0.2088,35.0598,108.56880000000001
DED5,31.179600000000004,3.5856,9.7308,42.9696,0.2088,35.4144,110.07
DEE0,31.1868,3.7674000000000003,9.107999999999999,42.7032,0.2088,36.519600000000004,34.775999999999996
DEF0,31.176000000000002,3.5856,9.7308,42.418800000000005,0.2088,36.8316,111.3696
DEG0,31.183200000000003,3.7674000000000003,9.7308,41.619600000000005,0.2088,35.444399999999995,109.8612
DK,,,,,,394.47360000000003,
DK01,26.8272,3.7710000000000004,9.7308,48.7224,0.014400000000000001,38.463,87.30720000000001
DK02,27.0252,4.1832,9.7308,50.1408,0.014400000000000001,38.6748,87.4764
DK03,27.007200000000005,4.5378,7.790400000000001,50.068799999999996,0.014400000000000001,38.7702,86.9688
DK04,27.010800000000003,4.8995999999999995,7.790400000000001,50.119200000000006,0.014400000000000001,38.6124,98.316
DK05,26.985599999999998,4.1724,7.790400000000001,50.0004,0.014400000000000001,38.580000000000005,98.2404
EE,,,,,,323.0352,
EE00,20.7324,5.4612,7.790400000000001,31.482,0.014400000000000001,28.011000000000006,61.758
EL,,,,,,484.2432,
EL30,28.461599999999997,3.078,9.7524,33.454800000000006,0.0,43.876200000000004,122.4108
EL41,27.9648,2.9466,9.7524,28.6884,0.0,46.2798,114.3288
EL42,28.206000000000003,3.1896,9.7524,31.053600000000003,0.0,41.9322,119.81880000000001
